,address,city_of_seattle,council_district,hud,name,sha,state_of_wa_or_county,units_with_income_rent_limits,wshfc,year_placed_in_service,zip_code,lat,lng
597,6429 29TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5449603,-122.3695411
598,6429 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.545174,-122.370701
599,6430 29TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5453845,-122.3689961
600,6430 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5449789,-122.3709725
601,6431 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5451297,-122.3706643
602,6431 HIGH POINT DR SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54529110000001,-122.3686288
603,6432 29TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.545343,-122.3689726
604,6432 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5448008,-122.3698419
605,6432 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5449535,-122.3709423
606,6433 29TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5447882,-122.3695445
607,6433 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5450908,-122.3706519
608,6433 HIGH POINT DR SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5452606,-122.36859
609,6434 29TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5453041,-122.3689602
610,6434 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.544752,-122.3697947
611,6435 29TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5447411,-122.3695585
612,6435 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.545052,-122.3706396
613,6436 29TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5452687,-122.3689707
614,6436 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5448707,-122.3709088
615,6437 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5450013,-122.3706306
616,6437 HIGH POINT DR SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54518640000001,-122.3685881
617,6438 29TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5452028,-122.3689424
618,6438 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5446454,-122.3697899
619,6438 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54481939999999,-122.3709035
620,6439 29TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5446613,-122.3694385
621,6439 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54496,-122.370631
622,6439 HIGH POINT DR SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5451357,-122.3685792
623,6440 29TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5451703,-122.3689264
624,6440 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5446271,-122.3697839
625,6440 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5448027,-122.3708905
626,6441 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5449202,-122.3705828
627,6441 HIGH POINT DR SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54508509999999,-122.3685703
628,6442 29TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5451274,-122.3689124
629,6442 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5447694,-122.370891
630,6443 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.544873,-122.3705969
631,6444 29TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5450863,-122.3689052
632,6445 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5448341,-122.3705845
633,6448 29TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54506079999999,-122.369096
634,6449 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5448822,-122.3703307
635,6450 29TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54507710000001,-122.3691713
636,6451 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5448479,-122.3704862
637,6500 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5443468,-122.3697234
638,6504 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5442657,-122.3696757
639,6510 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5441576,-122.3696268
640,6512 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5441209,-122.3696247
641,6515 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5439331,-122.3700858
642,6516 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5439833,-122.369572
643,6517 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543942,-122.370078
644,6518 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543975,-122.3695464
645,6519 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543937,-122.370159
646,6522 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5438526,-122.3695305
647,6523 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543878,-122.3703911
648,6524 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5438171,-122.3695069
649,6525 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543837,-122.370367
650,6527 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54379600000001,-122.370344
651,6528 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54366419999999,-122.3694473
652,6529 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543811,-122.3702811
653,6530 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543651,-122.369449
654,6530 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54413,-122.370998
655,6534 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5435123,-122.3694207
656,6536 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5439241,-122.370861
657,6538 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5438814,-122.3708467
658,6542 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5437015,-122.3707635
659,6543 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5435644,-122.3699255
660,6544 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5437113,-122.3707794
661,6545 30TH AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5435613,-122.3699089
662,6551 HIGH POINT DR SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5433352,-122.3698496
663,6553 HIGH POINT DR SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5433892,-122.3699122
664,6521 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5441915,-122.3739268
665,6527 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5441195,-122.3739569
666,3101 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.542634,-122.372556
667,3103 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5426661,-122.3724734
668,3107 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.542635,-122.372621
669,3109 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.542635,-122.372686
670,3111 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.542631,-122.3727511
671,3115 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5426758,-122.3728713
672,3117 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5426599,-122.3729413
673,3119 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5426795,-122.372993
674,3120 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54293089999999,-122.3726611
675,3122 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5429317,-122.37274
676,3125 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5426266,-122.3734277
677,3126 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5429325,-122.3728186
678,3127 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5425828,-122.3734286
679,3128 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5429333,-122.3728974
680,3129 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.542539,-122.3734296
681,3131 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5424952,-122.3734306
682,3132 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5429801,-122.3730028
683,3135 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5424077,-122.3734324
684,3136 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5430049,-122.3733306
685,3137 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5423653,-122.3734395
686,3139 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5423216,-122.3734295
687,3143 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54223289999999,-122.3734365
688,3145 SW HOLLY ST, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5421855,-122.3734378
689,6501 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5444093,-122.3724083
690,6503 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5443755,-122.3722701
691,6505 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5443575,-122.3721946
692,6507 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5443964,-122.3722164
693,6511 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.544268,-122.372012
694,6513 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.544326,-122.3720377
695,6515 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.544286,-122.371984
696,6518 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5442379,-122.3735928
697,6520 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5442369,-122.3735088
698,6521 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.544125,-122.371784
699,6523 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5441925,-122.3740127
700,6523 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54416790000001,-122.371726
701,6524 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.544283,-122.37327
702,6525 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.544176,-122.374087
703,6526 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54422,-122.3732561
704,6527 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543948,-122.3716129
705,6528 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.544177,-122.373257
706,6529 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54397789999999,-122.3741432
707,6529 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.544113,-122.3716951
708,6531 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54382030000001,-122.3740366
709,6531 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54413049999999,-122.3716228
710,6532 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5443592,-122.3737552
711,6533 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5439,-122.374093
712,6534 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54400099999999,-122.37326
713,6535 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543679,-122.3726516
714,6535 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543901,-122.374158
715,6535 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5439904,-122.3715623
716,6536 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5440449,-122.3732601
717,6537 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543901,-122.374223
718,6537 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5439426,-122.371526
719,6538 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.544089,-122.373259
720,6539 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5442926,-122.3727186
721,6539 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543613,-122.374164
722,6539 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54388300000001,-122.3714783
723,6541 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5438149,-122.3740893
724,6541 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5438022,-122.3714334
725,6542 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.544007,-122.3735486
726,6543 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543612,-122.374099
727,6543 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543913,-122.371506
728,6544 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5438267,-122.3732625
729,6545 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5434908,-122.3725795
730,6545 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543731,-122.3740922
731,6545 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54388400000001,-122.371494
732,6546 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543823,-122.3732793
733,6547 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5434714,-122.3726609
734,6547 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5436296,-122.3739485
735,6547 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543814,-122.3715394
736,6549 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5434653,-122.3726588
737,6549 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5436464,-122.3739941
738,6549 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54377299999999,-122.3715162
739,6550 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5438336,-122.3735259
740,6551 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5434592,-122.3726567
741,6551 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5435903,-122.3739799
742,6551 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5437284,-122.3713897
743,6552 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5438231,-122.3735309
744,6553 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543594,-122.3739995
745,6553 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54364750000001,-122.3713541
746,6554 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5436841,-122.3737772
747,6555 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5434469,-122.3726524
748,6555 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54340800000001,-122.3739666
749,6555 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5436103,-122.3713123
750,6556 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5435841,-122.3734939
751,6557 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5434408,-122.3726503
752,6557 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54342279999999,-122.3740096
753,6557 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5435319,-122.3712726
754,6558 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5435285,-122.3735698
755,6559 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5434346,-122.3726481
756,6559 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5433953,-122.3740076
757,6559 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5434403,-122.3712385
758,6561 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5434285,-122.372646
759,6561 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5432851,-122.3740092
760,6561 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543597,-122.371319
761,6562 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5434174,-122.3736083
762,6563 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5432452,-122.3740255
763,6563 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543349,-122.3712575
764,6564 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5433775,-122.373618
765,6565 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5432615,-122.3739777
766,6565 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543522,-122.371289
767,6567 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543447,-122.371264
768,6568 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5433037,-122.3735515
769,6569 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5433745,-122.3712946
770,6570 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5432824,-122.3735408
771,6571 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543276,-122.3711879
772,6572 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5432466,-122.3736251
773,6573 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54323309999999,-122.3711632
774,6574 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5432293,-122.3735515
775,6575 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5433148,-122.3712932
776,6577 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5432717,-122.3712805
777,6578 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5430889,-122.3736314
778,6579 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543246,-122.3712011
779,6580 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5430819,-122.3735698
780,6581 SYLVAN WAY SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.543217,-122.3711911
781,6582 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5430115,-122.3735504
782,6584 32ND AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5430679,-122.3735036
783,6701 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5424179,-122.3725052
784,6703 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5424269,-122.37252
785,6705 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5424167,-122.3726277
786,6707 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54241709999999,-122.3727127
787,6711 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5423664,-122.3729688
788,6713 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5423227,-122.3729696
789,6717 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.54223529999999,-122.3729716
790,6719 31ST AVE SW, ,1, ,High Point Phase II,X, ,1,X,2009,98126,47.5421852,-122.3729729
791,2600 SW HOLDEN ST,X,1, ,Highline Village, , ,24, ,2005,98126,47.5348759,-122.3667364
792,424 S MAIN ST,X,2, ,Hirabayashi Place, , ,95,X,2016,98104,47.6003017,-122.328633
793,4408 DELRIDGE WAY SW,X,1, ,Historic Cooper School, , ,36,X,2005,98106,47.5636986,-122.3629751
794,1213 SW HOLDEN ST,X,1, ,Holden Manor, , ,10, ,2002,98106,47.533967,-122.3514169
