,address,city_of_seattle,council_district,hud,name,sha,state_of_wa_or_county,units_with_income_rent_limits,wshfc,year_placed_in_service,zip_code,lat,lng
795,1212 SW HOLDEN ST, ,1, ,Holden Vista Apartments, ,X,16, ,1994,98106,47.5344839,-122.3514051
796,1814 12TH AVE S,X,2, ,Holgate 12, , ,5, ,2015,98144,47.5865204,-122.3170126
797,1001 E JOHN ST,X,3, ,Holiday Apartments, , ,29,X,2010,98102,47.6197711,-122.3192272
798,3824 SW MYRTLE ST, ,1, ,Holly Court,X, ,37, ,1980,98126,47.5398599,-122.3814952
799,3728 S MYRTLE ST, ,2, ,Holly Court,X, ,29, ,1980,98118,47.5391547,-122.2846046
800,6922 38TH AVE S, ,2, ,Holly Court,X, ,31, ,1980,98118,47.5405467,-122.284505
801,111 CEDAR ST,X,7, ,Humphrey House, , ,81,X,2010,98121,47.6159449,-122.3501127
802,400 S JACKSON ST,X,2, ,Icon, , ,24, ,2016,98104,47.59947469999999,-122.3283954
803,4119 12TH AVE NE,X,4, ,"Identity, Building I", , ,21, ,2014,98105,47.657477,-122.3158451
804,4106 12TH AVE NE,X,4, ,"Identity, Building II", , ,20, ,2014,98105,47.6571071,-122.3152592
805,1305 E MERCER ST,X,3, ,Ilaria, , ,12, ,2014,98112,47.6241241,-122.3153547
806,160 20TH AVE, ,3, ,Imani Village (was First Place Housing Project), ,X,16, ,2011,98122,47.6030255,-122.3059569
807,817 NE 64TH ST,X,4, ,Innovative Living @ Roosevelt, , ,4, ,2014,98115,47.6748278,-122.3192617
808,2208 15TH AVE W,X,7, ,Interbay Place, , ,97,X,2015,98119,47.639029,-122.3757722
809,607 MAYNARD AVE S,X,2,X,International House, , ,98,X,1999,98104,47.5973688,-122.3253154
810,202 6TH AVE S, ,2, ,International Terrace,X, ,100,X,1972,98104,47.6002778,-122.3260028
811,14002 LINDEN AVE N, ,5, ,Interurban Senior Living, , ,175,X,2013,98133,47.7307729,-122.3470388
812,5825 16TH AVE NE,X,4, ,Isis House, , ,10, ,1999,98105,47.6718781,-122.3112079
813,3033 CALIFORNIA AVE SW, ,1, ,Island View,X, ,48, ,1984,98116,47.5760227,-122.3871095
814,664 S JACKSON ST,X,2,X,Jackson Apts, , ,17, ,1987,98104,47.5994362,-122.3243994
815,14396 30TH AVE NE, ,5, ,Jackson Park House,X, ,71,X,1970,98125,47.7336272,-122.2963299
816,101 NW 85TH ST,X,6, ,Janus, , ,21, ,2016,98117,47.690301,-122.358026
817,500 12TH AVE,X,3, ,Jefferson, , ,39,X,2012,98122,47.598178,-122.3168913
818,800 JEFFERSON ST, ,3, ,Jefferson Terrace,X, ,299, ,1967,98104,47.604745,-122.3253512
819,601 EASTLAKE AVE E,X,7, ,Jensen Block, , ,30,X,1994,98109,47.624538,-122.329542
820,3333 GALE PL S,X,2, ,Joe Black Apartments, , ,24, ,1987,98144,47.5730131,-122.2921538
821,2911 1ST AVE,X,7, ,John Carney, , ,27, ,1992,98121,47.616977,-122.353211
822,13340 3RD AVE NE,X,5, ,Jordan House, , ,8, ,1995,98125,47.726156,-122.3256576
823,2708 ELLIOTT AVE,X,7, ,Joseph Arnold Lofts, , ,27, ,2013,98121,47.614885,-122.352464
824,1902 2ND AVE,X,7, ,Josephinum, , ,192,X,1992,98101,47.6113716,-122.3404463
825,523 BROADWAY E,X,3, ,Joule Apts, , ,59, ,2010,98102,47.6238082,-122.3211989
826,620 18TH AVE E,X,3, ,Jubilee House, , ,27, ,2008,98112,47.6250851,-122.3083347
827,1133 23RD AVE S,X,3, ,Judkins Park Apartments, , ,16,X,2004,98144,47.5920504,-122.3029445
828,1922 9TH AVE,X,7, ,Julie Apartments, , ,47,X,2001,98101,47.6162876,-122.3351381
829,4700 CALIFORNIA AVE SW,X,1, ,Junction 47, , ,42, ,2015,98116,47.5608206,-122.386437
830,4433 42ND AVE SW,X,1, ,Junction Flats, , ,16, ,2016,98116,47.56373989999999,-122.3857626
831,3801 S JUNEAU ST, ,2, ,Juneau Townhouses, , ,10,X,1993,98118,47.5495277,-122.2846648
832,65 S WASHINGTON ST,X,7, ,Karlstrom, , ,23,X,2005,98104,47.6007444,-122.3353367
833,2212 1ST AVE,X,7, ,Kasota, , ,47, ,1988,98121,47.6130815,-122.3455448
834,510 24TH AVE S, ,3,X,Kateri House, , ,8, ,1986,98144,47.5976724,-122.3008013
835,3512 S JUNEAU ST,X,2, ,Katharine's Place, , ,25,X,2005,98118,47.5499691,-122.2879251
836,6521 ROOSEVELT WAY NE,X,4, ,Kavela, , ,13, ,2013,98115,47.676333,-122.317732
837,1537 NW 56TH ST,X,6, ,Keelson Ballard, , ,21, ,2016,98107,47.6692026,-122.3779568
838,3936 S KENYON ST,X,2, ,Kenyon House, , ,18,X,2008,98118,47.53176,-122.2816865
839,510 MINOR AVE N,X,7, ,Kerner-Scott House, , ,40,X,1997,98109,47.6234884,-122.3327052
840,3515 WOODLAND PARK AVE N,X,4, ,Keystone, , ,64, ,1988,98103,47.649932,-122.3445571
841,5900 37TH AVE S,X,2, ,Kingway, , ,164, ,2007,98118,47.5489506,-122.2853003
842,9010 13TH AVE NW,X,6, ,La-Ba-Te-Yah Youth Home, , ,40, ,1991,98117,47.6946156,-122.3723726
843,12745 30TH AVE NE, ,5, ,Lake City Commons,X, ,15, ,2002,98125,47.7224206,-122.2967214
844,12314 35TH AVE NE,X,5, ,Lake City House, , ,5, ,1993,98125,47.7178012,-122.291026
845,12546 33RD AVE NE, ,5, ,Lake City House,X, ,115,X,1971,98125,47.7208151,-122.2920081
846,12536 33RD AVE NE, ,5, ,Lake City Village HOPE VI Redevelopment,X, ,85,X,2011,98125,47.7203008,-122.2918632
847,9061 SEWARD PARK AVE S,X,2, ,Lake Washington Apartments, , ,377,X,2015,98118,47.5217786,-122.2655509
848,1170 HARRISON ST,X,7, ,Lakeview Apartments, , ,59,X,2000,98109,47.6222905,-122.3332658
849,6935 DELRIDGE WAY SW, ,1, ,Lam Bow Apartments,X, ,30, ,2002,98106,47.5405113,-122.3616203
850,2312 E JOHN ST,X,3, ,Miller Park Apts, , ,12, ,1995,98112,47.620423,-122.3016788
851,6955 DELRIDGE WAY SW, ,1, ,Lam Bow Apartments,X, ,21, ,2002,98106,47.5403333,-122.3610639
852,2030 7TH AVE,X,7, ,Larned Apartments, , ,33,X,1991,98121,47.615908,-122.338316
853,3206 HARVARD AVE E,X,3, ,Larson Building, , ,12, ,2016,98102,47.6502778,-122.3218352
854,501 S SULLIVAN ST,X,1, ,Las Brisas del Mar Apartments, , ,10, ,1994,98108,47.527082,-122.327877
855,1426 WESTERN AVE,X,7, ,LaSalle Hotel, , ,63,X,2006,98101,47.6081626,-122.3407692
856,803 S LANE ST,X,2, ,Legacy House, , ,75, ,1997,98104,47.5965239,-122.3217208
857,814 COLUMBIA ST,X,3, ,Leighton Apts, , ,22, ,1989,98104,47.6069487,-122.3267076
858,420 2ND AVENUE EXT S,X,7, ,Leroy Helms, , ,11, ,1998,98104,47.6014327,-122.3313483
859,1011 S WELLER ST,X,2, ,Leschi House,X, ,68,X,2015,98104,47.5971037,-122.3188938
860,4616 S BENNETT ST,X,2, ,Lewis Albanese Re-entry Home, , ,6, ,1991,98118,47.5545657,-122.2746331
861,2209 1ST AVE,X,7, ,Lewiston Hotel, , ,52,X,2001,98121,47.6127242,-122.3457824
862,120 HARVARD AVE E,X,3, ,Lexicon, , ,8, ,2014,98102,47.6193598,-122.3218412
863,2402 2ND AVE,X,7, ,Lexington-Concord, , ,59, ,1991,98121,47.6150765,-122.3469192
864,9009 GREENWOOD AVE N, ,6, ,Lictonwood,X, ,81,X,1971,98103,47.6946452,-122.3557629
865,4545 8TH AVE NE,X,4, ,Lightbox, , ,33, ,2014,98105,47.66236199999999,-122.3199041
866,3639 LINDEN AVE N,X,6, ,Lime Studios, , ,7, ,2016,98103,47.65237399999999,-122.3488721
867,1020 E DENNY WAY,X,3, ,Lincoln Court Apartments, , ,29, ,2004,98102,47.61898,-122.318542
868,6935 FAUNTLEROY WY SW, ,1,X,Lincoln Park Group Homes, , ,8, ,1987,98136,47.5413477,-122.3903921
869,4127 LINDEN AVE N,X,6, ,Linden Apartments, , ,6, ,1992,98103,47.6574685,-122.3489381
870,4550 38TH AVE SW,X,1, ,Link Apts, , ,39, ,2011,98126,47.56129749999999,-122.3797796
871,1240 N MIDVALE PL,X,4, ,LIV Wallingford, , ,6, ,2017,98103,47.6616513,-122.3431245
872,418 BELLEVUE AVE E,X,3, ,Local 418 Apartments, , ,10, ,2013,98102,47.62264640000001,-122.3261546
873,422 SUMMIT AVE E,X,3, ,Local 422 Apartments, , ,10, ,2015,98102,47.6226666,-122.3249857
874,4535 44TH AVE SW,X,1, ,Lofts at the Junction, , ,8, ,2016,98116,47.5618174,-122.3883517
875,5915 DELRIDGE WAY SW, ,1, ,Longfellow Creek Apartments,X, ,84, ,2003,98106,47.549484,-122.363719
876,9401 27TH AVE SW,X,1, ,Longfellow/Westwood Court Cooperative,X, ,45,X,2001,98126,47.51896989999999,-122.3674934
877,107 CHERRY ST,X,7,X,Lowman Building, , ,89,X,2005,98104,47.60264369999999,-122.3337094
878,607 3RD AVE,X,7, ,Lyon Building, , ,64,X,1998,98104,47.6028425,-122.3319556
879,230 BROADWAY E,X,3, ,Lyric, , ,47, ,2012,98102,47.6208033,-122.3206009
880,1523 E MADISON ST,X,3, ,Mad Flats, , ,11, ,2016,98122,47.6146803,-122.3117128
881,823 MADISON ST, ,7, ,Madison Apartments, , ,72,X,1998,98104,47.6080565,-122.327655
882,1811 20TH AVE,X,3, ,Madison Two-O, , ,7, ,2017,98122,47.61803370000001,-122.3064589
883,308 22ND AVE, ,3, ,Main Place II,X, ,25, ,2004,98122,47.6046655,-122.3035454
884,2035 S MAIN ST, ,3, ,Main Street Apartments,X, ,12, ,2004,98144,47.5997829,-122.3046241
885,8803 15TH AVE NE,X,5, ,Maple Leaf House, , ,7, ,1999,98115,47.6923499,-122.3124995
886,5019 ROOSEVELT WAY NE,X,4, ,Marion West, , ,48,X,2016,98105,47.6655896,-122.317841
887,1115 NW MARKET ST, ,6, ,Market Terrace,X, ,30, ,2002,98107,47.6684224,-122.3714638
888,3261 SW AVALON WAY,X,1, ,Marq West Seattle, , ,23, ,2014,98126,47.563774,-122.3740993
889,6188 4TH AVE S,X,2, ,Martin Court, , ,42,X,2004,98108,47.5456525,-122.3290677
890,924 MARTIN LUTHER KING JR WAY, ,3, ,Martin Luther King Jr Way 5-Plex,X, ,5, ,2006,98122,47.61075229999999,-122.29588
891,8548 MARY AVE NW, ,6, ,Mary Avenue Townhomes,X, ,4, ,2001,98117,47.692057,-122.3749471
892,100 20TH AVE E,X,3,X,Mary Ruth Manor, , ,20,X,1993,98112,47.6187133,-122.3057282
893,10049 35TH AVE NE,X,5, ,Mary Witt House, , ,5, ,1990,98125,47.7025473,-122.2911233
894,318 11TH AVE E,X,3, ,Maxwell, , ,4, ,1990,98102,47.6217394,-122.3175452
895,12730 33RD AVE NE,X,5, ,McDermott Place, , ,75,X,2010,98125,47.7212806,-122.2923962
896,1916 E MADISON ST,X,3, ,McKinney Manor, , ,63, ,1999,98122,47.61719009999999,-122.3067588
897,3258 NE 96TH ST,X,5, ,Meadowbrook, , ,4, ,1991,98115,47.6984696,-122.2908553
898,11032 LAKE CITY WAY NE,X,5, ,Meadowbrook View,X, ,50,X,2002,98125,47.7093254,-122.3004466
899,1520 MELROSE AVE,X,3, ,Melrose, , ,30, ,1989,98122,47.6146608,-122.3275652
900,527 12TH AVE E,X,3, ,Mercer Court, , ,24,X,1996,98102,47.6239806,-122.3170221
901,10345 MERIDIAN AVE N,X,5,X,Meridian Manor, , ,107, ,2011,98133,47.704432,-122.3345039
902,320 W ROY ST, ,7, ,Michaelson Manor,X, ,57, ,1985,98119,47.62615,-122.361472
903,101 DENNY WAY,X,7, ,Minnie Flats, , ,17, ,2016,98109,47.618457,-122.3548114
904,1056 NE 120TH ST,X,5, ,Miracle Manor, , ,6, ,1990,98125,47.7160707,-122.3155981
905,1427 11TH AVE,X,3, ,Modera Capitol Hill, , ,27, ,2016,98122,47.613651,-122.3183251
906,435 DEXTER AVE N,X,7, ,Modera South Lake Union, , ,59, ,2016,98109,47.6230282,-122.3431481
907,100 23RD AVE S,X,3, ,Monica's Village Place, , ,50,X,2011,98144,47.601159,-122.3016677
908,9000 20TH AVE SW, ,1, ,Montridge Arms,X, ,33, ,2002,98106,47.52262349999999,-122.3588559
909,507 3RD AVE,X,7, ,Morrison Hotel, , ,190,X,2005,98104,47.6022005,-122.3311793
910,2530 29TH AVE S,X,2, ,Mt Baker Apts, , ,155,X,1989,98144,47.5800321,-122.2948011
911,2915 RAINIER AVE S,X,2, ,Mt Baker Lofts, , ,56,X,2014,98144,47.5772013,-122.2975861
912,4727 42ND AVE SW,X,1, ,"Mural Apts, The", , ,28, ,2009,98116,47.5599817,-122.3857734
913,5240 UNIVERSITY WAY NE,X,4, ,Muriels Landing, , ,20, ,2012,98105,47.6678147,-122.3127681
914,2200 NW 58TH ST,X,6, ,Nelson Manor - SSHP,X, ,31, ,2012,98107,47.6711617,-122.3850607
915,657 S WELLER ST,X,2,X,New Central, , ,28, ,2008,98104,47.59726120000001,-122.3244103
916,13000 LINDEN AVE N, ,5, ,New Haven Apartments, , ,247,X,2007,98133,47.7240026,-122.3477068
917,3102 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98118,47.54275879999999,-122.2925903
918,3104 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98118,47.5427507,-122.292519
919,3106 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98118,47.5427537,-122.2924506
920,3108 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98118,47.5427609,-122.2923836
921,3112 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98118,47.5427717,-122.2922818
922,3114 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98118,47.5427633,-122.2921957
923,3116 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98118,47.54275860000001,-122.2921312
924,3118 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98118,47.54276369999999,-122.2920631
925,6534 31ST AVE S,X,2, ,NewHolly Phase I,X, ,1, ,1999,98118,47.54329910000001,-122.2925523
926,6536 31ST AVE S,X,2, ,NewHolly Phase I,X, ,1, ,1999,98118,47.54325559999999,-122.2925273
927,6540 31ST AVE S,X,2, ,NewHolly Phase I,X, ,1, ,1999,98118,47.5431284,-122.2925732
928,6542 31ST AVE S,X,2, ,NewHolly Phase I,X, ,1, ,1999,98118,47.54308409999999,-122.2925583
929,2901 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5425565,-122.2956593
930,2902 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5427589,-122.2956509
931,2903 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5425466,-122.2956028
932,2904 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5427855,-122.2956434
933,2905 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5424946,-122.2955595
934,2906 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5427585,-122.2955182
935,2907 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5425471,-122.2954654
936,2908 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5427606,-122.2954682
937,2911 S BRIGHTON ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5411729,-122.2953314
938,2911 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5424859,-122.2953237
939,2911 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5405952,-122.295323
940,2912 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5427585,-122.2953331
941,2912 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5408878,-122.2953135
942,2913 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5424857,-122.2952877
943,2913 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5405851,-122.2952302
944,2914 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5428005,-122.2952874
945,2915 S BRIGHTON ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5411616,-122.2951022
946,2916 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.54088609999999,-122.2951048
947,2917 S BRIGHTON ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5411815,-122.2950536
948,2917 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5424934,-122.295095
949,2917 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.54057659999999,-122.2950494
950,2918 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5427575,-122.2951477
951,2918 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5408129,-122.2950618
952,2919 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5424948,-122.2950928
953,2919 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5406104,-122.2950291
954,2920 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.54275519999999,-122.2950976
955,2921 S BRIGHTON ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5411596,-122.2948267
956,2921 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5424956,-122.295077
957,2921 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5405874,-122.2949543
958,2922 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5428297,-122.2950475
959,2922 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5408232,-122.2948429
960,2923 S BRIGHTON ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5411615,-122.2947777
961,2923 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.54249660000001,-122.2950777
962,2923 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.54061979999999,-122.2948786
963,2924 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5427527,-122.29496
964,2924 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5408266,-122.2948155
965,2925 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.54062039999999,-122.2948033
966,2927 S BRIGHTON ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5412089,-122.2945648
967,2927 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5405857,-122.2947132
968,2928 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5408684,-122.2945302
969,2929 S BRIGHTON ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5412081,-122.2945394
970,2930 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5408893,-122.2945223
971,2933 S BRIGHTON ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.541218,-122.2943043
972,2933 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5406184,-122.2944385
973,2934 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5408106,-122.2943044
974,2935 S BRIGHTON ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5412174,-122.2942471
975,2935 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5405568,-122.2944331
976,2936 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.54080889999999,-122.2942445
977,2937 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.54058209999999,-122.2943135
978,2939 S BRIGHTON ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5411689,-122.2940336
979,2939 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5405623,-122.2941986
980,2940 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5408153,-122.2940395
981,2941 S BRIGHTON ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5411729,-122.2940179
982,2941 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5406002,-122.2941721
983,2942 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.54085449999999,-122.2940013
984,2943 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.540586,-122.2940825
985,2945 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5405725,-122.2939929
986,2947 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5405673,-122.2939619
987,2949 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5407221,-122.2938345
988,2951 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5424961,-122.2945314
989,2951 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5405538,-122.2937642
990,2953 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5424957,-122.2945277
991,2953 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.540616,-122.2937368
992,2955 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5424938,-122.2945216
993,2955 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5405931,-122.293655
994,2957 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5424906,-122.294512
995,2957 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5406203,-122.2935726
996,2959 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5405898,-122.2935141
997,2961 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5424921,-122.2942303
998,2961 S WILLOW ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.5405942,-122.2935478
999,2963 S HOLLY ST,X,2, ,NewHolly Phase I,X, ,1, ,1999,98108,47.542491,-122.2942283
