Quarter-Year,Domestic,International,Date
Q4-02,23246,0,2002-12-30
Q4-03,44334,0,2003-12-30
Q4-04,76223,0,2004-12-30
Q4-05,101967,0,2005-12-30
Q4-06,142586,0,2006-12-30
Q4-07,168673,0,2007-12-30
Q4-08,193625,0,2008-12-30
Q4-09,231598,0,2009-12-30
Q4-10,336756,509000,2010-12-30
Q4-11,220000,380000,2011-12-30
Q4-12,2050000,1810000,2012-12-30
Q4-13,2330000,1740000,2013-12-30
Q4-14,1900000,2430000,2014-12-30
Q4-15,1560000,4040000,2015-12-30
Q4-16,1930000,5120000,2016-12-30
Q4-17,1980000,6360000,2017-12-30
Q4-18,2070000,8840000,2018-12-30